order_item_id,order_id,product_id,quantity,unit_price
1,6685,76,10,1449.33
2,1880,240,10,1118.4
3,2073,200,6,1004.72
4,1053,232,4,173.26
5,2650,261,2,671.11
6,7002,73,10,836.69
7,1367,28,9,1053.39
8,8015,118,10,1255.73
9,2550,81,2,1086.92
10,9728,282,4,1270.34
11,6506,291,2,227.65
12,5280,227,4,1110.55
13,7545,223,8,1938.15
14,1867,14,6,649.12
15,2244,290,9,1191.7
16,7393,250,1,1373.78
17,7243,150,6,1300.96
18,9747,42,6,23.59
19,3220,29,5,1703.61
20,4492,163,1,1143.88
21,170,91,1,246.08
22,2146,194,9,606.95
23,3999,287,8,1073.39
24,9093,18,4,1827.33
25,5074,178,1,1239.49
26,2787,162,9,666.43
27,6550,232,7,173.26
28,774,122,1,1395.65
29,4460,5,10,459.09
30,3371,140,7,1740.25
31,7525,179,5,1826.38
32,1128,275,3,368.06
33,3934,218,9,1006.58
34,8274,50,1,1375.29
35,1238,125,9,952.3
36,2166,229,3,1324.74
37,1175,25,6,603.8
38,1641,125,4,952.3
39,4601,193,1,1980.56
40,1648,280,5,1639.74
41,2617,77,1,516.37
42,1615,121,9,1573.75
43,8961,87,6,755.18
44,3868,89,1,757.53
45,9015,101,2,74.11
46,6337,268,2,1929.5
47,6736,114,7,1971.53
48,149,122,9,1395.65
49,9263,45,8,1169.1
50,4023,195,10,1310.93
51,207,239,9,382.91
52,9708,157,8,1129.42
53,7020,247,3,1452.44
54,757,22,1,1578.04
55,5794,67,2,337.43
56,4211,52,1,741.41
57,7765,5,8,459.09
58,1871,223,4,1938.15
59,4408,288,6,1091.85
60,452,273,10,736.38
61,5254,54,3,961.58
62,3551,235,1,727.79
63,8669,191,2,167.25
64,1805,300,2,1165.23
65,4339,156,6,632.71
66,4253,187,7,1053.53
67,9921,242,3,188.34
68,6479,177,6,917.46
69,6382,59,10,1526.1
70,3049,233,7,766.2
71,8168,41,4,653.97
72,7196,229,2,1324.74
73,8209,257,7,1444.59
74,2317,218,4,1006.58
75,9579,182,7,43.29
76,1746,69,7,1436.67
77,6254,226,9,986.3
78,3585,13,6,1514.26
79,5955,254,4,559.16
80,7517,51,4,1383.68
81,8921,269,8,589.98
82,4694,24,3,1754.72
83,2291,112,5,1547.35
84,6239,36,5,359.23
85,4869,201,7,1293.37
86,2883,254,7,559.16
87,3356,112,1,1547.35
88,4864,57,2,1826.47
89,7489,214,2,1137.72
90,4886,90,2,274.65
91,6138,96,5,1350.26
92,8379,117,2,1897.56
93,9847,204,9,467.24
94,6906,107,7,810.51
95,4292,246,1,781.72
96,4101,199,6,1408.66
97,6179,276,10,63.56
98,6349,262,8,765.98
99,358,111,7,644.62
100,9031,287,4,1073.39
101,49,15,5,1816.79
102,8869,113,8,481.44
103,9886,117,7,1897.56
104,3720,41,6,653.97
105,9448,93,3,1458.44
106,9730,59,3,1526.1
107,7907,30,7,552.95
108,5404,115,5,449.88
109,1056,23,5,1873.85
110,818,194,3,606.95
111,9487,49,2,620.54
112,8901,232,3,173.26
113,2102,263,3,886.04
114,4601,246,2,781.72
115,8497,99,1,926.64
116,1434,275,2,368.06
117,7313,299,7,1496.24
118,876,246,6,781.72
119,7344,270,10,1935.85
120,8531,130,10,782.95
121,7817,146,10,1410.5
122,7354,30,6,552.95
123,2642,70,2,190.97
124,8034,64,2,132.9
125,4574,280,7,1639.74
126,5501,214,6,1137.72
127,8467,49,9,620.54
128,8758,53,1,446.07
129,7089,40,8,1963.55
130,3462,161,7,597.43
131,3986,49,7,620.54
132,3279,49,3,620.54
133,9772,237,6,895.02
134,5774,230,3,1546.61
135,6790,53,7,446.07
136,9777,157,10,1129.42
137,6726,112,8,1547.35
138,9185,260,2,616.27
139,1453,294,4,98.15
140,8611,298,10,524.89
141,878,201,9,1293.37
142,2732,25,2,603.8
143,3395,7,8,667.28
144,1260,219,8,116.86
145,5703,97,3,854.01
146,1883,200,4,1004.72
147,3187,216,2,670.14
148,3967,40,8,1963.55
149,8633,169,5,981.75
150,9477,19,1,841.59
151,5087,29,4,1703.61
152,7803,84,10,73.15
153,5854,152,6,1766.8
154,8453,171,9,1052.65
155,3685,175,7,145.26
156,3841,281,2,1349.23
157,2510,247,5,1452.44
158,3569,79,3,155.33
159,5279,176,2,28.19
160,7176,140,2,1740.25
161,9834,95,6,1957.2
162,9137,35,5,1352.06
163,8087,216,3,670.14
164,1742,94,4,1671.3
165,6649,20,2,1868.51
166,8881,203,4,1790.63
167,9363,134,6,112.56
168,4231,51,4,1383.68
169,9091,129,6,1119.0
170,3830,49,6,620.54
171,6384,112,1,1547.35
172,9882,125,1,952.3
173,7706,205,9,956.25
174,5533,24,10,1754.72
175,7023,157,6,1129.42
176,9492,276,8,63.56
177,2222,143,1,1924.53
178,9215,91,2,246.08
179,7552,248,4,1811.36
180,5385,48,7,1338.89
181,6562,261,2,671.11
182,1091,106,4,497.02
183,7709,99,7,926.64
184,7420,15,8,1816.79
185,2230,62,8,1410.49
186,3709,151,1,530.51
187,2954,157,3,1129.42
188,2813,88,5,902.59
189,1542,269,4,589.98
190,1005,211,4,1178.2
191,3029,121,7,1573.75
192,5123,158,1,1485.09
193,1543,279,2,1664.25
194,5080,149,5,767.52
195,2756,152,9,1766.8
196,4436,80,1,695.61
197,2578,144,4,1496.29
198,6027,4,10,492.49
199,5041,225,7,1569.26
200,5752,47,2,1388.61
201,8434,219,2,116.86
202,5511,214,5,1137.72
203,133,295,5,1933.95
204,1689,159,8,528.94
205,5760,99,10,926.64
206,8834,34,4,1583.63
207,7659,20,6,1868.51
208,5097,69,5,1436.67
209,5322,48,10,1338.89
210,915,261,3,671.11
211,6317,39,2,1341.82
212,446,103,6,488.93
213,6281,164,10,1003.61
214,4378,93,10,1458.44
215,9727,90,1,274.65
216,2860,124,8,375.92
217,6263,196,7,196.07
218,9554,217,10,1583.09
219,2839,86,10,1534.0
220,5685,120,4,1944.86
221,8803,197,2,760.57
222,9318,129,2,1119.0
223,1072,278,4,882.53
224,9976,9,10,20.31
225,3777,157,3,1129.42
226,4595,77,5,516.37
227,37,194,7,606.95
228,2912,263,4,886.04
229,4427,210,4,41.16
230,3303,154,9,1525.64
231,8828,118,4,1255.73
232,4217,107,8,810.51
233,6078,53,9,446.07
234,6247,224,10,68.96
235,4169,20,9,1868.51
236,7122,186,5,222.96
237,2880,146,4,1410.5
238,9209,91,7,246.08
