order_id,customer_id,order_date,status
1,2357,2023-08-15,delivered
2,1533,2024-02-05,delivered
3,2784,2024-08-25,cancelled
4,618,2023-12-20,pending
5,1978,2023-04-18,shipped
6,1704,2023-03-29,pending
7,2991,2023-05-26,shipped
8,1278,2023-12-18,delivered
9,848,2024-06-17,delivered
10,1427,2024-05-02,pending
11,1795,2024-12-14,delivered
12,1307,2023-03-10,shipped
13,184,2024-12-28,pending
14,93,2023-12-18,pending
15,2774,2023-06-18,processing
16,2114,2023-06-28,cancelled
17,656,2023-12-05,cancelled
18,1747,2024-04-18,processing
19,1660,2024-10-06,processing
20,764,2024-10-17,delivered
21,1621,2023-01-30,cancelled
22,809,2024-04-05,cancelled
23,1760,2024-02-03,pending
24,2887,2023-08-08,processing
25,1141,2024-12-21,pending
26,2365,2023-04-15,cancelled
27,766,2024-01-10,shipped
28,808,2024-04-13,pending
29,1075,2024-11-17,delivered
30,2162,2024-10-16,shipped
31,2446,2024-02-02,cancelled
32,1608,2024-08-24,pending
33,1426,2023-12-27,delivered
34,2529,2023-06-26,shipped
35,2517,2024-08-27,pending
36,2753,2023-05-18,shipped
37,483,2023-09-02,shipped
38,480,2023-07-07,shipped
39,2841,2023-05-25,cancelled
40,1592,2024-03-04,cancelled
41,565,2024-08-11,delivered
42,1733,2023-07-10,delivered
43,2604,2024-07-04,processing
44,2273,2023-06-20,delivered
45,1184,2023-05-24,processing
46,1289,2024-04-06,cancelled
47,220,2024-01-03,pending
48,1985,2023-05-20,processing
49,1573,2024-07-29,cancelled
50,2675,2024-05-21,delivered
51,2805,2024-05-18,delivered
52,2909,2024-03-30,delivered
53,686,2023-03-26,cancelled
54,127,2023-08-14,shipped
55,134,2023-10-09,processing
56,2203,2023-10-23,processing
57,1874,2024-08-02,delivered
58,2252,2024-06-07,pending
59,2346,2023-04-27,shipped
60,2225,2024-01-11,cancelled
61,171,2024-03-27,cancelled
62,896,2024-03-11,pending
63,2678,2023-09-11,shipped
64,133,2024-04-05,shipped
65,1428,2023-03-31,delivered
66,481,2023-08-31,processing
67,2409,2024-12-06,shipped
68,2912,2024-09-16,delivered
69,680,2024-09-22,processing
70,847,2023-07-31,pending
71,2336,2023-12-26,cancelled
72,1152,2024-09-03,cancelled
73,690,2023-11-28,shipped
74,1186,2024-08-09,shipped
75,2108,2024-11-26,pending
76,556,2024-02-26,pending
77,1136,2024-11-02,processing
78,2874,2023-05-16,processing
79,600,2024-12-29,shipped
80,1014,2024-11-23,delivered
81,2005,2023-05-26,cancelled
82,2591,2023-10-03,delivered
83,1537,2024-04-07,pending
84,2596,2023-04-06,delivered
85,2112,2023-10-12,shipped
86,1863,2024-05-14,shipped
87,2384,2023-01-03,pending
88,2994,2024-04-14,shipped
89,260,2024-07-01,delivered
90,893,2024-03-15,processing
91,2027,2023-10-02,shipped
92,1162,2023-12-12,cancelled
93,2368,2023-05-14,cancelled
94,1988,2023-12-18,pending
95,189,2023-04-12,delivered
96,67,2023-05-08,processing
97,1808,2024-04-12,pending
98,1753,2023-07-27,processing
99,2663,2023-11-06,processing
100,1123,2023-04-06,shipped
101,1026,2023-03-26,shipped
102,2722,2024-10-26,processing
103,213,2024-02-10,shipped
104,2974,2024-12-17,processing
105,1759,2024-11-02,pending
106,2883,2023-04-08,pending
107,875,2024-05-03,pending
108,544,2024-08-30,processing
109,2128,2024-11-27,delivered
110,39,2023-01-09,shipped
111,494,2024-03-08,processing
112,1957,2023-03-14,processing
113,1570,2023-04-02,pending
114,423,2023-11-17,shipped
115,1226,2023-05-21,delivered
116,546,2024-10-18,processing
117,281,2024-06-27,cancelled
118,35,2024-09-16,processing
119,1803,2023-12-26,processing
120,2573,2023-06-05,delivered
121,2524,2024-12-04,delivered
122,890,2023-03-30,pending
123,574,2023-05-07,cancelled
124,2991,2024-01-29,shipped
125,1759,2023-11-19,processing
126,1015,2023-10-11,pending
127,1017,2024-07-20,cancelled
128,2458,2024-09-14,shipped
129,2829,2023-01-28,shipped
130,842,2024-06-14,cancelled
131,2088,2023-07-13,delivered
132,1211,2024-10-23,pending
133,981,2024-05-21,delivered
134,462,2023-09-04,delivered
135,2614,2024-08-31,pending
136,2164,2023-01-13,shipped
137,1297,2023-05-16,delivered
138,2329,2024-03-06,shipped
139,2238,2024-11-30,processing
140,1930,2023-03-16,pending
141,2406,2023-03-11,pending
142,1074,2023-08-09,pending
143,248,2024-02-12,cancelled
144,1174,2024-10-05,cancelled
145,1702,2024-03-09,delivered
146,338,2024-10-17,cancelled
147,2203,2024-09-22,processing
148,1137,2023-03-27,shipped
149,324,2024-06-07,processing
150,637,2024-07-03,shipped
151,1601,2024-08-23,pending
152,1271,2024-12-16,delivered
153,2990,2023-09-02,pending
154,1002,2023-03-30,delivered
155,476,2024-04-09,cancelled
156,2494,2023-02-26,shipped
157,2729,2024-11-04,processing
158,490,2023-01-13,processing
159,2874,2023-01-12,processing
160,2034,2023-12-22,cancelled
161,2119,2023-09-23,processing
162,1524,2023-05-10,shipped
163,484,2023-01-31,shipped
164,1759,2023-10-06,cancelled
165,262,2023-09-27,cancelled
166,2571,2023-03-20,delivered
167,1865,2024-06-07,shipped
168,228,2024-05-26,cancelled
169,684,2024-01-12,processing
170,1045,2023-04-16,cancelled
171,2762,2023-04-29,processing
172,2085,2023-01-03,pending
173,51,2023-09-08,pending
174,1933,2024-01-08,delivered
175,615,2023-07-03,pending
176,2265,2024-11-02,delivered
177,920,2023-11-26,processing
178,1705,2023-11-24,shipped
179,320,2024-08-08,shipped
180,490,2024-05-29,pending
181,735,2023-08-17,cancelled
182,189,2024-02-15,pending
183,1906,2023-10-17,shipped
184,1341,2023-03-30,cancelled
185,1871,2023-01-09,shipped
186,822,2023-10-26,cancelled
187,1245,2024-09-29,processing
188,1901,2024-01-13,cancelled
189,2021,2023-07-20,cancelled
190,1005,2023-06-04,pending
191,1680,2023-01-25,processing
192,2219,2023-12-21,pending
193,1373,2023-01-02,delivered
194,2979,2023-11-11,pending
195,841,2024-06-26,processing
196,1720,2024-05-18,pending
197,584,2024-12-29,shipped
198,382,2023-02-14,processing
199,2129,2024-02-27,shipped
200,1878,2023-03-28,cancelled
201,392,2024-06-01,processing
202,2611,2024-02-08,pending
203,2425,2024-08-04,pending
204,1782,2024-11-09,processing
205,970,2023-10-26,shipped
206,1291,2024-02-07,shipped
207,1303,2024-04-08,shipped
208,957,2023-03-18,processing
209,558,2024-08-21,pending
210,637,2023-04-19,processing
211,1842,2024-04-22,shipped
212,1666,2023-05-04,cancelled
213,1468,2023-08-01,delivered
214,1263,2024-04-19,shipped
215,492,2023-04-03,processing
216,2811,2023-11-08,cancelled
217,166,2023-08-09,shipped
218,608,2023-04-04,processing
219,1458,2024-02-10,cancelled
220,201,2024-11-24,shipped
221,1066,2023-06-28,pending
222,1657,2024-04-08,cancelled
223,2254,2023-09-13,pending
224,1893,2023-04-15,processing
225,498,2023-01-13,pending
226,911,2023-05-14,processing
227,1641,2024-01-17,pending
228,2386,2024-08-23,shipped
229,308,2023-01-23,pending
230,810,2024-10-23,delivered
231,528,2023-04-05,shipped
232,502,2023-02-13,delivered
233,208,2023-06-22,cancelled
234,1775,2024-02-09,delivered
235,121,2024-01-27,delivered
236,708,2023-12-29,processing
237,767,2023-10-09,shipped
238,1827,2023-06-02,pending
239,2516,2024-09-26,cancelled
240,1007,2024-10-24,shipped
241,2044,2024-02-26,cancelled
242,1963,2023-03-04,pending
243,1146,2024-01-28,processing
244,1718,2023-07-24,cancelled
245,1021,2024-10-07,cancelled
246,80,2024-01-27,shipped
247,1965,2024-07-11,delivered
248,1410,2024-08-02,cancelled
249,1318,2024-02-02,shipped
250,737,2023-01-27,shipped
251,2446,2023-08-13,pending
252,1151,2023-03-01,delivered
253,2169,2024-01-02,cancelled
254,954,2023-06-13,pending
255,1016,2024-11-03,processing
256,1092,2024-06-30,pending
257,899,2024-08-12,delivered
258,1454,2023-06-27,processing
259,969,2024-08-29,
260,2858,2024-01-03,cancelled
261,116,2024-12-21,shipped
262,2326,2024-07-31,processing
263,2307,2023-07-12,delivered
264,2221,2023-11-13,processing
265,2009,2023-02-08,pending
266,231,2023-08-27,cancelled
267,897,2023-01-21,cancelled
268,1958,2023-01-01,shipped
269,2516,2023-07-26,processing
270,1396,2023-07-01,shipped
271,244,2023-01-23,processing
272,2403,2024-12-22,processing
273,455,2024-06-22,shipped
274,298,2024-01-18,delivered
275,2401,2023-04-14,shipped
276,1237,2023-11-27,processing
277,646,2024-03-23,delivered
278,2660,2023-11-21,processing
279,2897,2024-07-29,cancelled
280,1462,2023-08-17,cancelled
281,719,2024-01-23,shipped
282,2821,2023-10-29,processing
283,728,2023-01-02,cancelled
284,1604,2024-08-04,pending
285,746,2024-09-08,shipped
286,2505,2023-08-15,cancelled
287,427,2024-05-23,processing
288,1357,2023-03-21,processing
289,1421,2023-11-24,processing
290,2606,2023-04-01,shipped
291,1830,2023-01-12,shipped
292,859,2023-09-13,pending
293,1436,2023-09-20,pending
294,2951,2023-01-02,pending
295,1581,2024-03-24,delivered
296,682,2024-02-28,delivered
297,1552,2023-12-26,cancelled
298,1538,2023-04-14,delivered
299,2368,2024-10-28,processing
300,667,2024-04-07,pending
301,137,2023-10-29,pending
302,1306,2023-09-25,pending
303,304,2023-12-17,processing
304,1538,2023-06-14,pending
305,2241,2023-04-06,shipped
306,2434,2024-09-20,delivered
307,2886,2023-02-01,delivered
308,2678,2023-06-18,cancelled
309,1779,2023-06-10,pending
310,415,2023-12-06,processing
311,779,2024-02-24,cancelled
312,2958,2024-07-07,shipped
313,2706,2023-10-16,shipped
314,973,2023-04-09,pending
315,1610,2024-08-08,cancelled
316,2011,2023-06-07,pending
317,1478,2023-01-04,delivered
318,359,2023-10-29,cancelled
319,1968,2023-07-24,pending
320,106,2023-07-31,processing
321,2615,2023-10-26,pending
322,1940,2023-04-29,shipped
323,1629,2024-04-27,delivered
324,2708,2023-09-29,pending
325,2630,2024-07-11,delivered
326,758,2024-01-15,delivered
327,1514,2023-07-11,delivered
328,183,2023-09-27,delivered
